SalePointName,Address,openHours/0/busy/0,openHours/0/busy/1,openHours/0/busy/2,openHours/0/busy/3,openHours/0/busy/4,openHours/0/busy/5,openHours/0/busy/6,openHours/0/busy/7,openHours/0/busy/8,openHours/0/busy/9,openHours/0/busy/10,openHours/0/busy/11,openHours/0/busy/12,openHours/0/busy/13,openHours/0/busy/14,openHours/0/busy/15,openHours/0/busy/16,openHours/0/busy/17,openHours/1/busy/0,openHours/1/busy/1,openHours/1/busy/2,openHours/1/busy/3,openHours/1/busy/4,openHours/1/busy/5,openHours/1/busy/6,openHours/1/busy/7,openHours/1/busy/8,openHours/1/busy/9,openHours/1/busy/10,openHours/1/busy/11,openHours/1/busy/12,openHours/1/busy/13,openHours/1/busy/14,openHours/1/busy/15,openHours/1/busy/16,openHours/1/busy/17,openHours/2/busy/0,openHours/2/busy/1,openHours/2/busy/2,openHours/2/busy/3,openHours/2/busy/4,openHours/2/busy/5,openHours/2/busy/6,openHours/2/busy/7,openHours/2/busy/8,openHours/2/busy/9,openHours/2/busy/10,openHours/2/busy/11,openHours/2/busy/12,openHours/2/busy/13,openHours/2/busy/14,openHours/2/busy/15,openHours/2/busy/16,openHours/2/busy/17,openHours/3/busy/0,openHours/3/busy/1,openHours/3/busy/2,openHours/3/busy/3,openHours/3/busy/4,openHours/3/busy/5,openHours/3/busy/6,openHours/3/busy/7,openHours/3/busy/8,openHours/3/busy/9,openHours/3/busy/10,openHours/3/busy/11,openHours/3/busy/12,openHours/3/busy/13,openHours/3/busy/14,openHours/3/busy/15,openHours/3/busy/16,openHours/3/busy/17,openHours/4/busy/0,openHours/4/busy/1,openHours/4/busy/2,openHours/4/busy/3,openHours/4/busy/4,openHours/4/busy/5,openHours/4/busy/6,openHours/4/busy/7,openHours/4/busy/8,openHours/4/busy/9,openHours/4/busy/10,openHours/4/busy/11,openHours/4/busy/12,openHours/4/busy/13,openHours/4/busy/14,openHours/4/busy/15,openHours/4/busy/16,openHours/4/busy/17,openHours/5/busy/0,openHours/5/busy/1,openHours/5/busy/2,openHours/5/busy/3,openHours/5/busy/4,openHours/5/busy/5,openHours/5/busy/6,openHours/5/busy/7,openHours/5/busy/8,openHours/5/busy/9,openHours/5/busy/10,openHours/5/busy/11,openHours/5/busy/12,openHours/5/busy/13,openHours/5/busy/14,openHours/5/busy/15,openHours/5/busy/16,openHours/5/busy/17,openHours/6/busy/0,openHours/6/busy/1,openHours/6/busy/2,openHours/6/busy/3,openHours/6/busy/4,openHours/6/busy/5,openHours/6/busy/6,openHours/6/busy/7,openHours/6/busy/8,openHours/6/busy/9,openHours/6/busy/10,openHours/6/busy/11,openHours/6/busy/12,openHours/6/busy/13,openHours/6/busy/14,openHours/6/busy/15,openHours/6/busy/16,openHours/6/busy/17,Address_y,openHours/0/days,openHours/0/hours,openHours/1/days,openHours/1/hours,openHours/2/days,openHours/2/hours,openHours/3/days,openHours/3/hours,openHours/4/days,openHours/4/hours,openHours/5/days,openHours/5/hours,openHours/6/days,openHours/6/hours,openHoursIndividual/0/days,openHoursIndividual/0/hours,openHoursIndividual/1/days,openHoursIndividual/1/hours,openHoursIndividual/2/days,openHoursIndividual/2/hours,openHoursIndividual/3/days,openHoursIndividual/3/hours,openHoursIndividual/4/days,openHoursIndividual/4/hours,openHoursIndividual/5/days,openHoursIndividual/5/hours,openHoursIndividual/6/days,openHoursIndividual/6/hours,Lat,Lon,servLe,work_with_bank_account,working_with_debit_credit_cards,credits,currency_cash,saving_account_deposits,money,bigmoney,insurance,investment_managment,transfers_and_payments,blind,invalid
ДО «Солнечногорский» Филиала № 7701 Банка ВТБ (ПАО),"141506, Московская область, г. Солнечногорск, ул. Красная, д. 60",0,0,0,58,79,89,90,92,91,92,94,88,71,45,0,0,0,0,0,0,0,41,59,77,83,85,78,75,73,74,62,42,0,0,0,0,0,0,0,38,53,65,67,71,69,73,76,75,62,37,0,0,0,0,0,0,0,43,64,79,79,74,77,88,100,97,77,48,0,0,0,0,0,0,0,44,63,74,86,95,97,98,95,86,64,37,0,0,0,0,0,0,0,0,49,69,79,82,76,58,40,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,"141506, Московская область, г. Солнечногорск, ул. Красная, д. 60",пн,09:00-18:00,вт,09:00-18:00,ср,09:00-18:00,чт,09:00-18:00,пт,09:00-17:00,сб,выходной,вс,выходной,пн,09:00-20:00,вт,09:00-20:00,ср,09:00-20:00,чт,09:00-20:00,пт,09:00-20:00,сб,10:00-17:00,вс,выходной,56.184479,36.984314,0,1,1,1,1,1,1,0,1,1,1,0,1
ДО «Лобня» Филиала № 7701 Банка ВТБ (ПАО),"141730, Московская область, г. Лобня, ул. Ленина, д. 9",0,0,0,0,50,67,72,80,86,87,94,95,95,77,0,0,0,0,0,0,0,0,48,65,76,81,81,80,87,93,94,79,0,0,0,0,0,0,0,0,51,68,68,75,79,79,79,84,83,59,0,0,0,0,0,0,0,0,45,63,69,78,83,83,89,93,87,70,0,0,0,0,0,0,0,0,61,86,95,96,90,88,96,100,93,70,0,0,0,0,0,0,0,0,60,83,92,93,83,66,45,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,"141730, Московская область, г. Лобня, ул. Ленина, д. 9",пн,10:00-19:00,вт,10:00-19:00,ср,10:00-19:00,чт,10:00-19:00,пт,10:00-18:00,сб,выходной,вс,выходной,пн,10:00-20:00,вт,10:00-20:00,ср,10:00-20:00,чт,10:00-20:00,пт,10:00-20:00,сб,10:00-17:00,вс,выходной,56.012386,37.482059,1,1,1,1,1,1,1,1,0,1,1,0,1
ДО «Черноголовский» Филиала № 7701 Банка ВТБ (ПАО),"142432, Московская область, г. Черноголовка, пр-д Строителей, д. 1б",0,0,0,0,78,80,100,88,80,74,88,90,78,0,0,0,0,0,0,0,0,0,42,54,72,74,72,74,68,58,48,0,0,0,0,0,0,0,0,0,24,42,66,76,78,80,96,90,76,0,0,0,0,0,0,0,0,0,56,64,76,72,66,58,66,80,60,0,0,0,0,0,0,0,0,0,78,84,96,90,82,86,70,74,50,0,0,0,0,0,0,0,0,0,58,72,66,60,48,48,38,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,"142432, Московская область, г. Черноголовка, пр-д Строителей, д. 1б",Не обслуживает ЮЛ,,,,,,,,,,,,,,пн,10:00-19:00,вт,10:00-19:00,ср,10:00-19:00,чт,10:00-19:00,пт,10:00-19:00,сб,10:00-17:00,вс,выходной,56.011509,38.377728,0,1,1,0,0,1,1,1,1,1,1,1,0
ДО «Пушкинский» Филиала № 7701 Банка ВТБ (ПАО),"141207, Московская область, г. Пушкино, ул. Тургенева, д. 24, пом. 018",0,0,0,57,75,83,83,84,86,94,94,84,69,0,0,0,0,0,0,0,0,47,59,67,77,86,92,91,88,77,66,0,0,0,0,0,0,0,0,47,66,78,84,87,86,93,92,83,64,0,0,0,0,0,0,0,0,40,54,69,81,88,93,93,100,92,76,0,0,0,0,0,0,0,0,51,60,64,65,70,78,88,88,79,61,0,0,0,0,0,0,0,0,0,42,57,71,72,66,53,36,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,"141207, Московская область, г. Пушкино, ул. Тургенева, д. 24, пом. 018",пн,09:00-18:00,вт,09:00-18:00,ср,09:00-18:00,чт,09:00-18:00,пт,09:00-17:00,сб,выходной,вс,выходной,пн,09:00-19:00,вт,09:00-19:00,ср,09:00-19:00,чт,09:00-19:00,пт,09:00-19:00,сб,10:00-17:00,вс,выходной,56.010849,37.854359,1,1,1,1,1,1,1,0,1,1,1,1,1
ДО ЦИК «Пушкино» Филиала № 7701 Банка ВТБ (ПАО),"141200, Московская область, г. Пушкино, ул. Чехова, д. 14а",0,0,0,41,56,60,70,64,62,62,58,48,32,0,0,0,0,0,0,0,0,38,53,69,83,98,100,96,88,73,56,0,0,0,0,0,0,0,0,37,46,55,66,71,69,66,71,73,71,0,0,0,0,0,0,0,0,43,67,74,75,71,73,76,78,75,65,0,0,0,0,0,0,0,0,42,39,41,56,67,73,74,70,57,48,0,0,0,0,0,0,0,0,0,39,48,62,74,73,65,55,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,"141200, Московская область, г. Пушкино, ул. Чехова, д. 14а",пн,09:00-18:00,вт,09:00-18:00,ср,09:00-18:00,чт,09:00-18:00,пт,09:00-17:00,сб,выходной,вс,выходной,пн,09:00-19:00,вт,09:00-19:00,ср,09:00-19:00,чт,09:00-19:00,пт,09:00-19:00,сб,10:00-17:00,вс,выходной,56.008335,37.851467,0,1,1,1,0,1,1,1,1,1,1,0,1
ДО «Зеленоградский» Филиала № 7701 Банка ВТБ (ПАО),"124498, г. Москва, г. Зеленоград, корп. 401",0,0,0,18,48,60,87,100,93,78,66,57,42,0,0,0,0,0,0,0,0,24,42,57,60,66,60,78,81,84,60,0,0,0,0,0,0,0,0,30,51,69,66,75,63,69,75,75,51,0,0,0,0,0,0,0,0,36,57,69,72,90,75,57,36,24,12,0,0,0,0,0,0,0,0,21,39,60,66,54,45,36,45,48,39,0,0,0,0,0,0,0,0,0,24,21,39,36,39,33,12,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,"124498, г. Москва, г. Зеленоград, корп. 401",пн,09:00-18:00,вт,09:00-18:00,ср,09:00-18:00,чт,09:00-18:00,пт,09:00-17:00,сб,выходной,вс,выходной,пн,09:00-19:00,вт,09:00-19:00,ср,09:00-19:00,чт,09:00-19:00,пт,09:00-19:00,сб,10:00-17:00,вс,выходной,56.000401,37.208775,0,1,1,1,1,0,1,1,1,1,1,1,1
ДО «На Каменке» Филиала № 7701 Банка ВТБ (ПАО),"124365, г. Москва, Зеленоград, ул. Каменка, кор. 1805",0,0,0,50,69,83,86,86,87,91,99,100,86,62,0,0,0,0,0,0,0,44,55,62,70,77,84,91,93,88,76,58,0,0,0,0,0,0,0,52,64,76,80,83,77,83,86,97,90,69,0,0,0,0,0,0,0,45,63,80,88,89,88,89,94,97,90,66,0,0,0,0,0,0,0,55,70,77,84,87,91,92,94,93,85,62,0,0,0,0,0,0,0,0,51,74,86,93,82,71,51,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,"124365, г. Москва, Зеленоград, ул. Каменка, кор. 1805",пн,09:00-18:00,вт,09:00-18:00,ср,09:00-18:00,чт,09:00-18:00,пт,09:00-17:00,сб,выходной,вс,выходной,пн,09:00-20:00,вт,09:00-20:00,ср,09:00-20:00,чт,09:00-20:00,пт,09:00-20:00,сб,10:00-17:00,вс,выходной,55.979717,37.162693,1,1,0,1,0,0,1,1,0,1,1,1,1
ДО «Ивантеевский» Филиала № 7701 Банка ВТБ (ПАО),"141280, Московская область, г. Ивантеевка, ул. Дзержинского, д. 11а",0,0,0,0,59,72,78,81,81,88,99,96,77,0,0,0,0,0,0,0,0,0,46,58,71,84,94,100,99,92,75,0,0,0,0,0,0,0,0,0,40,47,53,60,68,77,81,81,66,0,0,0,0,0,0,0,0,0,50,63,65,63,59,60,66,69,57,0,0,0,0,0,0,0,0,0,63,78,82,84,78,85,84,82,73,0,0,0,0,0,0,0,0,0,44,59,67,79,88,81,69,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,"141280, Московская область, г. Ивантеевка, ул. Дзержинского, д. 11а",Не обслуживает ЮЛ,,,,,,,,,,,,,,пн,10:00-19:00,вт,10:00-19:00,ср,10:00-19:00,чт,10:00-19:00,пт,10:00-19:00,сб,10:00-17:00,вс,выходной,55.973255,37.909462,1,1,1,1,0,1,1,1,1,1,1,0,1
ДО «Фрязино» Филиала № 7701 Банка ВТБ (ПАО),"141196, Московская область, г. Фрязино, пр-т Мира, д. 17, пом. 13",0,0,0,0,47,65,69,72,76,80,90,96,78,0,0,0,0,0,0,0,0,0,34,67,85,90,78,80,72,74,70,0,0,0,0,0,0,0,0,0,45,80,100,90,81,69,69,63,60,0,0,0,0,0,0,0,0,0,54,70,80,65,70,72,87,81,76,0,0,0,0,0,0,0,0,0,43,54,65,80,98,100,85,78,58,0,0,0,0,0,0,0,0,0,72,83,85,81,85,69,50,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,"141196, Московская область, г. Фрязино, пр-т Мира, д. 17, пом. 13",Не обслуживает ЮЛ,,,,,,,,,,,,,,пн,10:00-19:00,вт,10:00-19:00,ср,10:00-19:00,чт,10:00-19:00,пт,10:00-19:00,сб,10:00-17:00,вс,выходной,55.956615,38.058323,1,1,1,1,1,1,1,1,1,1,1,0,1
ДО «Проспект Пацаева» Филиала № 7701 Банка ВТБ (ПАО),"141707, Московская область, г. Долгопрудный, пр-т Пацаева, д. 9",0,0,0,0,46,62,71,75,75,74,76,80,77,70,0,0,0,0,0,0,0,0,44,60,74,81,86,88,95,100,96,77,0,0,0,0,0,0,0,0,33,48,62,74,81,78,83,87,88,78,0,0,0,0,0,0,0,0,49,67,76,81,78,85,92,96,93,76,0,0,0,0,0,0,0,0,41,58,70,73,80,84,93,99,99,82,0,0,0,0,0,0,0,0,34,49,66,76,80,76,59,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,"141707, Московская область, г. Долгопрудный, пр-т Пацаева, д. 9",пн,10:00-19:00,вт,10:00-19:00,ср,10:00-19:00,чт,10:00-19:00,пт,10:00-18:00,сб,выходной,вс,выходной,пн,10:00-20:00,вт,10:00-20:00,ср,10:00-20:00,чт,10:00-20:00,пт,10:00-20:00,сб,10:00-17:00,вс,выходной,55.947811,37.499382,1,1,0,1,0,0,1,1,1,1,1,1,1
