atms/address,Lat,Lon,atms/allDay,atms/services/wheelchair/serviceCapability,atms/services/wheelchair/serviceActivity,atms/services/blind/serviceCapability,atms/services/blind/serviceActivity,atms/services/nfcForBankCards/serviceCapability,atms/services/nfcForBankCards/serviceActivity,atms/services/qrRead/serviceCapability,atms/services/qrRead/serviceActivity,atms/services/supportsUsd/serviceCapability,atms/services/supportsUsd/serviceActivity,atms/services/supportsChargeRub/serviceCapability,atms/services/supportsChargeRub/serviceActivity,atms/services/supportsEur/serviceCapability,atms/services/supportsEur/serviceActivity,atms/services/supportsRub/serviceCapability,atms/services/supportsRub/serviceActivity,blind,invalid
"ул. Богородский Вал, д. 6, корп. 1",55.802432,37.704547,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,1.0,1.0
"ул. Нижняя Красносельская, д. 43",55.773763,37.675002,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,1.0,1.0
"ул. Авиаконструктора Миля, д. 4, корп. 1",55.686137,37.849832,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,1.0,0.0
"Кадашевская наб., д. 36, стр. 1",55.745726,37.625702,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,1.0,1.0
"Новочеркасский б-р, д. 44",55.646284,37.737542,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,1.0,1.0
"Нагорный б-р, д. 10",55.67226,37.595707,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,1.0,1.0
"2-я ул. Марьиной Рощи, д. 22",55.799955,37.619221,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,1.0,0.0
"ул. Героев Панфиловцев, д. 12, корп. 1",55.858771,37.429672,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,1.0,0.0
"ул. Дубининская, д. 11, стр. 2",55.728008,37.63835,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,1.0,1.0
"ул. Дубнинская, д. 30, корп. 1",55.880677,37.558643,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,1.0,1.0
"ул. Кастанаевская, д. 25, корп. 1",55.736001,37.483157,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,1.0,1.0
"ул. Тарусская, д. 14, корп. 1",55.605226,37.530813,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,1.0,1.0
"Новодевичий пр-д, д. 10",55.729863,37.557511,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,1.0,1.0
"ул. Академика Королева, д. 9, корп. 1",55.82092,37.62387,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,1.0,1.0
"ул. Стадион, д. 2",55.816475,37.088141,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,1.0,1.0
"ул. Большая Черкизовская, д. 30, корп. 1",55.799603,37.740956,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,1.0,1.0
"ул. Перовская, д. 33, корп. 1",55.747485,37.775856,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,1.0,1.0
"Можайское ш., д. 42",55.71837,37.411373,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,1.0,1.0
"Ленинградский пр-т, д. 56",55.79851,37.537955,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,1.0,1.0
"ул. Пятницкая, д. 54, стр. 2",55.733923,37.627337,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,1.0,1.0
"Пятницкое ш., д. 12, корп. 2",55.840851,37.386921,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,1.0,1.0
"Волжский бул., д. 16, корп. 1",55.711938,37.744053,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,1.0,0.0
"Тихорецкий бул., д. 2, корп. 1",55.679027,37.77643,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,1.0,1.0
"ул. Большая Филевская, д. 13",55.748523,37.500405,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,1.0,1.0
"Мичуринский пр-т, д. 47",55.687243,37.481945,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,1.0,1.0
"Рублевское ш., д. 16, корп. 1",55.740188,37.43437,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,1.0,1.0
